;Vrouwen;;Mannen;
Rank;eerste_voornaam;aantal;eerste_voornaam;aantal
160;Magdalena;8.647;Ferdinand;8.709
161;Lisanne;8.552;Milan;8.640
162;Renate;8.474;Ricardo;8.466
163;Eveline;8.459;Robbert;8.336
164;Jennifer;8.432;Roel;8.311
165;Samantha;8.402;Mathijs;8.306
166;Kirsten;8.376;Benjamin;8.271
167;Everdina;8.327;Sam;8.195
168;Ida;8.325;Louis;8.185
169;Antoinette;8.293;Pim;8.087
170;Joanna;8.184;Casper;7.977
171;Anja;8.145;Roland;7.923
172;Annie;8.038;Antonie;7.872
173;Irma;8.034;Stephan;7.765
174;Paula;8.030;Julian;7.690
175;Marina;7.997;Stan;7.671
176;Stephanie;7.986;Arnold;7.650
177;Brigitte;7.979;Ali;7.604
178;Susanne;7.968;Christian;7.572
179;Francina;7.918;Arthur;7.569
180;Gerritdina;7.882;Mohammed;7.436
181;Marit;7.878;Niek;7.326
182;Frederika;7.852;Jakob;7.319
183;Marleen;7.802;Alex;7.235
184;Hubertina;7.779;Guido;7.230
185;Fatima;7.766;Rutger;7.079
186;Floor;7.670;Brian;7.078
187;Roos;7.623;Reinier;7.068
188;Jantina;7.516;Marten;7.058
189;Jannigje;7.451;Ivo;7.041
190;Isa;7.353;Leon;7.027
191;Evelien;7.340;Timo;7.001
192;Louisa;7.316;Rik;6.998
193;Renske;7.267;Ramon;6.956
194;Rianne;7.221;Henri;6.833
195;Bertha;7.219;Harry;6.828
196;Elise;7.187;George;6.762
197;Brenda;7.187;Johnny;6.667
198;Annemieke;7.178;Teun;6.667
199;Pauline;7.165;Wessel;6.617
200;Susanna;7.028;Marius;6.596
201;Marjan;6.945;Henk;6.432
202;Noa;6.913;Kornelis;6.403
203;Regina;6.910;Harmen;6.377
204;Agatha;6.899;Job;6.354
205;Nikki;6.897;Dave;6.342
206;Carmen;6.835;Victor;6.291
207;Cynthia;6.830;Bartholomeus;6.266
208;Antonetta;6.792;Jochem;6.161
209;Ingeborg;6.778;Arjen;6.145
210;Marije;6.769;Joep;6.122
211;Annette;6.766;Rens;6.062
212;Lisette;6.748;Edward;6.054
213;Rosa;6.717;Antoon;6.028
214;Janny;6.717;Michaël;5.996
215;Geesje;6.694;Anthonius;5.990
216;Wilma;6.673;Daniel;5.975
217;Silvia;6.648;Gerben;5.957
218;Andrea;6.606;Maikel;5.956
219;Clasina;6.546;Ahmed;5.936
220;Henriette;6.505;Walter;5.906
221;Margriet;6.452;Douwe;5.886
222;Zoë;6.431;Mehmet;5.827
223;Henderika;6.428;Luc;5.728
224;Edith;6.425;Alfred;5.682
225;Deborah;6.378;Nico;5.675
226;Gerdina;6.368;Rogier;5.583
227;Teuntje;6.356;Ralph;5.581
228;Jannie;6.336;Charles;5.575
229;Danique;6.265;Ryan;5.527
230;Mariëlle;6.236;Melvin;5.507
231;Christine;6.208;Mustafa;5.378
232;Engelina;6.202;Christianus;5.378
233;Priscilla;6.178;Leo;5.350
234;Robin;6.153;Wilhelm;5.327
235;Josephine;6.151;Dick;5.279
236;Jansje;6.134;Gerhard;5.278
237;Dorothea;6.125;Theo;5.217
238;Jasmijn;6.113;Cornelius;5.199
239;Amy;6.092;Noah;5.193
240;Myrthe;6.077;Marijn;5.172
241;Rachel;5.981;Levi;5.154
242;Renée;5.946;Ruud;5.146
243;Annigje;5.852;Mees;5.094
244;Klazina;5.832;Bertus;5.056
245;Kimberley;5.809;Laurentius;5.024
246;Lydia;5.791;Damian;5.014
247;Suzanna;5.656;Finn;5.007
248;Miriam;5.651;Leonard;5.006
249;Natascha;5.640;Anthonie;4.993
250;Esmee;5.581;Ronny;4.991
251;Loes;5.579;Jonathan;4.950
252;Gezina;5.565;Pepijn;4.922
253;Susan;5.559;Nicky;4.908
254;Alberdina;5.522;Björn;4.896
255;Fenna;5.493;Frits;4.875
256;Lynn;5.484;Jean;4.856
257;Yvette;5.459;Jens;4.851
258;Tanja;5.445;Oscar;4.850
259;Anke;5.433;Mario;4.845
260;Milou;5.393;Roger;4.815
261;Clara;5.388;Lodewijk;4.812
262;Marja;5.365;Glenn;4.806
263;Jenny;5.356;Quinten;4.757
264;Kimberly;5.334;Ernst;4.757
265;Shirley;5.328;Mattheus;4.751
266;Olga;5.322;Cas;4.721
267;Alberta;5.309;Jimmy;4.709
268;José;5.247;Barend;4.697
269;Nelly;5.224;Fabian;4.674
270;Tess;5.146;Jordi;4.663
